Sr #,Symbol,Sector,Type,Status,Qty,Buy Price,Entry Date,LTP,Ageing,Risk (ATR),Planned R:R,Pot. Profit,P&L,Stop Loss,Target,Quality,AI Analysis,Rationale,Lessons,Exit Price,Exit Date,Exit Reason,Chart
11,ITBEES,NSE:CNXIT,Positional,🔴 Losing,4176,41.92,2025-12-29,32.76,85 days,🟢 4.5x ATR,1:2,31069.43999999999,-38252.16000000002,38.2,49.36,1-Star,"ITBEES: Stage 2 with that P&L and risk dist screams chasing. Leading RS is irrelevant if price-volume isn't confirming the breakout.

Risk Desk Verdict: Dump it.",,,,,,
12,HCLTECH,NSE:CNXIT,Positional,🔴 Losing,76,1632.6,2025-12-29,1373.3,85 days,🟢 4.6x ATR,1:2,12783.199999999986,-19706.799999999996,1548.5,1800.7999999999997,2-Star,"Price action's lagging P&L. 5.9% risk distance is fat for Stage 2. Momentum's fading.

Risk Desk Verdict: Dump it.",,,,,,
13,AIAENG,NSE:CNXINFRA,Positional,🔴 Losing,25,3973.552,2026-01-12,3378.3,71 days,🟢 2.3x ATR,1:2,12577.600000000019,-14881.3,3722,4476.656000000001,3-Star,"P&L stinks. CNXINFRA's ""Leading"" RS isn't defending the Stage 2 breakout; price-volume needs a serious look. Risk Dist is a joke relative to that kind of drawdown. 

**Risk Desk Verdict:** Cut it.",,,,,,
14,SILVERIETF,NSE:CNX500,Positional,🔴 Losing,737,340.1469,2026-01-20,221.01,63 days,🔴 0.1x ATR,1:2,177833.53060000006,-87803.89530000002,219.5,581.4407000000001,3-Star,"P&L down 30%, risk dist at 7.5% in a Stage 2 name. 'Leading' RS means jack if price-volume isn't confirming the breakout; check for distribution.
**Risk Desk Verdict:** Momentum stalling. Tighten stops, or ditch the dead weight.",,,,,,
15,HINDCOPPER,NSE:CNXMETAL,Positional,🔴 Losing,372,564.5712,2026-01-20,463.55,63 days,🔴 0.8x ATR,1:2,61284.17279999999,-37579.88639999999,482.2,729.3136,3-Star,"P&L decent, but 16.1% risk distance for a Stage 2 breakout is sloppy. Need to see volume confirming continuation, or it's just chasing.

**Risk Desk Verdict: Monitor volume closely. Tighten stops or trim size if momentum stalls.**",,,,,,
16,GOLDIETF,NSE:CNX500,Positional,🔴 Losing,1760,142.65227,2026-01-20,119.57,63 days,🔴 0.8x ATR,1:2,68823.99039999998,-40624.79519999999,123.1,181.75680999999997,1-Star,"Stage 2 with negative P&L? Leading RS is irrelevant. Price action needs to confirm breakout; otherwise, it's a failed move. 6.5% risk dist is wide given current return profile.

**Risk Desk Verdict:** Price-volume hygiene poor. Position needs immediate review; either validate the move with volume or cut losses.",,,,,,
17,NATIONALUM,NSE:CNXMETAL,Positional,🟢 Winning,354,352.4963,2026-02-06,354.65,46 days,🟢 2.4x ATR,1:2,31857.380400000013,762.4097999999851,307.5,442.48890000000006,3-Star,"Stage 2 with that P&L? RS Leading means jack if it's bleeding. Risk Dist is thin for a directional bet. Price-volume needs a serious look; exhaustion signals are a no-go.

Risk Desk Verdict: Chop it. This trade's price action is suspect; not seeing the follow-through.",,,,,,
18,ICICIBANK,NSE:BANKNIFTY,Positional,🔴 Losing,121,1352.3397,2026-02-09,1251.2,43 days,🟢 3.8x ATR,1:2,7400.396299999946,-12237.903699999993,1376.9,1413.4999999999995,3-Star,"P&L decent, but 2.5% risk dist on a leading RS name in Stage 2? Questionable. Need volume confirmation, or this looks like a crowded trade nearing exhaustion. Risk Desk Verdict: Reduce size. Now.",,,,,,
19,COALINDIA,NSE:CNXENERGY,Positional,🟢 Winning,156,431.5,2026-02-09,442.1,43 days,🟢 2.0x ATR,1:2,6520.799999999993,1653.6000000000035,410.6,473.29999999999995,2-Star,"Stage 2 with negative P&L suggests early failure. Price needs to prove commitment to breakout or risk dist is too wide for comfort.

**Risk Desk Verdict: Monitor closely. Cut if no immediate volume support.**",,,,,,
20,HDFCSML250,,,🔴 Losing,2060,161.49272,2026-03-24,146.97,0 days,N/A,1:2,,-29916.803199999984,,,,,,,,,,
21,METALIETF,,,🟢 Winning,8600,8.72,2026-03-24,11.09,0 days,N/A,1:2,,20381.999999999993,,,,,,,,,,
